case_id,split,liver_volume_ml,left_ratio,lesion_index,mode,nominal_diameter_mm,effective_diameter_mm,actual_to_nominal_ratio,surface_margin_mm,tnr_from_saved_activity,overlap_previous_vox
case_0001,train,1607.508131008,0.3500214868929953,0,ellipsoid,42.263346269764035,38.42455761227976,0.9091697890417492,0.0,3.6599585533904055,0
case_0001,train,1607.508131008,0.3500214868929953,1,ellipsoid,37.17456906047268,32.80152130473499,0.8823645339741812,0.0,3.2935557264762445,0
case_0002,val,1574.4357409039999,0.3495859156474524,0,spiculated,38.93363024516189,38.829832123933784,0.9973339726972671,0.0,5.476851603112696,0
case_0002,val,1574.4357409039999,0.3495859156474524,1,ellipsoid,34.08303352716349,43.23360217041027,1.2684787032220581,0.0,6.6759668511316255,0
case_0002,val,1574.4357409039999,0.3495859156474524,2,ellipsoid,11.198982937856904,24.20595448430478,2.16144221476392,0.0,5.551205199082902,0
case_0003,train,1231.36366288,0.3068723702664797,0,spiculated,15.798829873087438,16.451695018652085,1.0413236392067726,4.42,9.220846829274343,0
case_0003,train,1231.36366288,0.3068723702664797,1,ellipsoid,13.371830902859223,24.484208216193156,1.831028854168193,13.26,8.044723830020141,0
case_0003,train,1231.36366288,0.3068723702664797,2,spiculated,22.08056144462268,21.104788963567845,0.9558085294387989,0.0,17.47900990313933,0
case_0003,train,1231.36366288,0.3068723702664797,3,spiculated,18.57403968901736,17.589792186315965,0.9470095079379327,0.0,7.366092097490181,0
case_0004,train,1090.439013664,0.3500158378207159,0,spiculated,21.007660488765087,17.410291986178873,0.8287592040765277,0.0,12.552395571004931,0
case_0004,train,1090.439013664,0.3500158378207159,1,ellipsoid,39.0956217106627,36.54713175851157,0.9348139295235693,0.0,14.621764944368948,1
case_0004,train,1090.439013664,0.3500158378207159,2,ellipsoid,10.438358443544963,28.407149835670907,2.721419271939044,8.84,12.930552677165876,0
case_0004,train,1090.439013664,0.3500158378207159,3,ellipsoid,28.633072115764918,34.820583972357745,1.2160966811935656,0.0,10.51301740085364,0
case_0004,train,1090.439013664,0.3500158378207159,4,ellipsoid,14.454869278220269,18.909672798944936,1.308187049981621,0.0,12.045853823987011,0
case_0005,train,1215.302397712,0.3112121642745488,0,spiculated,19.687289980549835,19.21227880613988,0.9758721908968049,12.50164789137816,14.452333744313817,0
case_0005,train,1215.302397712,0.3112121642745488,1,ellipsoid,13.370761719237006,27.8513655721599,2.083005153856651,17.68,14.379811872045925,0
case_0006,train,1552.8480189040001,0.3126285936718011,0,ellipsoid,17.008107258379184,29.520990704873817,1.7357011133810942,0.0,3.8770483093455366,0
case_0006,train,1552.8480189040001,0.3126285936718011,1,spiculated,31.442268609223145,30.615344074450782,0.9737002267536828,0.0,2.8056353249288613,0
case_0007,test,1133.528106776,0.3492039308295879,0,ellipsoid,14.077980883412955,22.70782358044203,1.6130028708305026,0.0,5.78163095640067,0
case_0007,test,1133.528106776,0.3492039308295879,1,ellipsoid,13.81436518129207,25.454001297526165,1.8425748098795685,0.0,5.0793860925502194,0
case_0008,train,1177.912463208,0.31170735283337,0,ellipsoid,19.133940220109565,28.542746877714652,1.491733879659378,0.0,11.091886654839167,0
case_0008,train,1177.912463208,0.31170735283337,1,spiculated,16.556838434142733,16.451695018652085,0.9936495475323461,15.936536637550832,4.666604245427539,0
