case_id,split,backend,sum,max,nonzero_fraction,noninteger_positive_fraction,support_row_count,support_col_count
case_0011,train,simind,1892548.874083741,203.43386840820312,0.15558268229166666,1.0,92,83
case_0019,val,simind,1569187.78585049,219.42916870117188,0.16873067220052082,1.0,91,81
case_0020,train,simind,1533675.0722280294,281.55828857421875,0.16188863118489583,1.0,93,82
case_0021,train,simind,1569993.424655291,408.47607421875,0.16312764485677084,1.0,93,84
case_0024,train,simind,1558374.8467984074,196.43971252441406,0.16858927408854166,1.0,94,81
case_0049,train,simind,1579932.017184072,290.3858947753906,0.16309712727864584,0.9999937629029945,92,82
case_0058,train,simind,1654910.6898934806,338.0102233886719,0.15538431803385416,1.0,93,83
case_0088,train,simind,1597643.6826438438,83.9922866821289,0.17182820638020832,1.0,92,83
case_0096,test,simind,1815900.8372428708,291.5010986328125,0.15539143880208334,1.0,94,83
case_0100,train,simind,1720031.7981374147,77.56057739257812,0.16914469401041668,1.0,93,83
